n	lemma	count	status	approvals
692	σκοτία	17		
693	καταλύω	17		
694	οὔ	17		
695	πλησίον	17		
696	ὑποκριτής	17		
697	κρυπτός	17		
698	ῥύομαι	17		
699	νίπτω	17		
700	μήτι	17		
701	ἑκατοντάρχης	17		
702	ἐμβαίνω	17		
703	πλήρωμα	17		
704	ὑπομένω	17		
705	ἐξίστημι	17		
706	ἑκατόν	17		
707	ἀρέσκω	17		
708	βρῶμα	17		
709	ὦ	17		
710	Καισάρεια	17		
711	κερδαίνω	17		
712	ἀνάγκη	17		
713	ὡσαύτως	17		
714	ἕτοιμος	17		
715	ἄφεσις	17		
716	ἐπαύριον	17		
717	περιτέμνω	17		
718	ἀποκάλυψις	17		
719	κατέχω	17		
720	χάρισμα	17		
721	χρυσοῦς	17		
722	ἵππος	17		
723	τροφή	16		
724	Καφαρναούμ	16		
725	κακῶς	16		
726	διψάω	16		
727	ἐπιθυμέω	16		
728	κλείω	16		
729	κλέπτης	16		
730	οὐδέποτε	16		
731	ἐκτείνω	16		
732	νυμφίος	16		
733	ἐργάτης	16		
734	διατάσσω	16		
735	προσδοκάω	16		
736	κατακρίνω	16		
737	πλήρης	16		
738	διαλογίζομαι	16		
739	δηνάριον	16		
740	δεῖ	16		
741	ὑστερέω	16		
742	συκῆ	16		
743	κἄν	16		
744	γάμος	16		
745	τολμάω	16		
746	δεῖπνον	16		
747	τέρας	16		
748	παρέχω	16		
749	συλλαμβάνω	16		
750	δέσμιος	16		
751	ἀθετέω	16		
752	ἔπειτα	16		
753	λύπη	16		
754	ἀνακρίνω	16		
755	ζῆλος	16		
756	Ἔφεσος	16		
757	σφραγίς	16		
758	πάθημα	16		
759	εὐλογία	16		
760	παρθένος	15		
761	θρίξ	15		
762	Ἰορδάνης	15		
763	χορτάζω	15		
764	νομίζω	15		
765	συμφέρω	15		
766	ὁμοιόω	15		
767	χόρτος	15		
768	ἀπάγω	15		
769	ἀνομία	15		
770	πέτρα	15		
771	ποτίζω	15		
772	σαλεύω	15		
773	περισσότερος	15		
774	ὅθεν	15		
775	ξηραίνω	15		
776	σκάνδαλον	15		
777	ὠφελέω	15		
778	τράπεζα	15		
779	γεύομαι	15		
780	κτίζω	15		
781	λῃστής	15		
782	δέρω	15		
783	κληρονόμος	15		
784	ῥαββί	15		
785	οἰκουμένη	15		
786	προλέγω	15		
787	γυμνός	15		
788	σφραγίζω	15		
789	εἶτα	15		
790	δεσμός	15		
791	καταλαμβάνω	15		
792	ἐπαγγέλλομαι	15		
793	γνωστός	15		
794	κατέρχομαι	15		
795	παύω	15		
796	συνίστημι	15		
797	Λάζαρος	15		
798	διαμαρτύρομαι	15		
799	τύπος	15		
800	εὐσέβεια	15		
801	Σαῦλος	15		
802	Δαμασκός	15		
803	ἐπιμένω	15		
804	εὐχαριστία	15		
805	ἐλάχιστος	14		
806	ἀναχωρέω	14		
807	Σαδδουκαῖος	14		
808	σῖτος	14		
809	ἐντέλλομαι	14		
810	λύχνος	14		
811	μοιχεύω	14		
812	ἀνθίστημι	14		
813	πετεινόν	14		
814	αὔριον	14		
815	μέτρον	14		
816	κατανοέω	14		
817	ὄφις	14		
818	ἄκανθα	14		
819	φρόνιμος	14		
820	ὀψία	14		
821	σεισμός	14		
822	ἀνάκειμαι	14		
823	ἀμφότεροι	14		
824	κωφός	14		
825	χωλός	14		
826	ἁρπάζω	14		
827	νήπιος	14		
828	μερίζω	14		
829	κατεσθίω	14		
830	κλάω	14		
831	κοινόω	14		
832	νοέω	14		
833	διαλογισμός	14		
834	ἀνέχομαι	14		
835	ἀλλότριος	14		
836	ταπεινόω	14		
837	τάλαντον	14		
838	ἕκτος	14		
839	κληρονομία	14		
840	θύω	14		
841	οἷος	14		
842	ξένος	14		
843	μύρον	14		
844	μακρόθεν	14		
845	κοινός	14		
846	ἐπίσταμαι	14		
847	προσδέχομαι	14		
848	ἐξαποστέλλω	14		
849	ἀφίσταμαι	14		
850	ἐνιαυτός	14		
851	ἀτενίζω	14		
852	εὐφραίνω	14		
853	γράμμα	14		
854	ἀπειθέω	14		
855	ἀναγγέλλω	14		
856	πώς	14		
857	ὑπακοή	14		
858	φύσις	14		
859	μακροθυμία	14		
860	ἅπαξ	14		
861	πρίν	13		
862	ἐμπαίζω	13		
863	Ναζωραῖος	13		
864	Ἀνδρέας	13		
865	καταρτίζω	13		
866	δαιμονίζομαι	13		
867	καίω	13		
868	ἐλεημοσύνη	13		
869	κλέπτω	13		
870	διαφέρω	13		
871	ἐπιζητέω	13		
872	ἐκπλήσσομαι	13		
873	θερισμός	13		
874	ἀνά	13		
875	ζύμη	13		
876	παράδοσις	13		
877	ἕξ	13		
878	χωρίζω	13		
879	ὕψιστος	13		
880	ἔξωθεν	13		
881	τρόπος	13		
882	τύπτω	13		
883	παιδίσκη	13		
884	ἄνωθεν	13		
885	διαλέγομαι	13		
886	ἀναλαμβάνω	13		
887	θεμέλιος	13		
888	στηρίζω	13		
889	Μάρθα	13		
890	καταισχύνω	13		
891	παιδεύω	13		
892	καπνός	13		
893	τίμιος	13		
894	καταντάω	13		
895	Φῆστος	13		
896	καθάπερ	13		
897	συνεργός	13		
898	Τίτος	13		
899	ἀναστροφή	13		
900	δράκων	13		
901	Βαβυλών	12		
902	πυνθάνομαι	12		
903	λίαν	12		
904	ὅριον	12		
905	βαπτιστής	12		
906	βοάω	12		
907	δεῦτε	12		
908	δίκτυον	12		
909	Ζεβεδαῖος	12		
910	συνέχω	12		
911	ψεύδομαι	12		
912	λυχνία	12		
913	φονεύω	12		
914	μωρός	12		
915	γέεννα	12		
916	ὀδούς	12		
917	ἄδικος	12		
918	σαλπίζω	12		
919	χοῖρος	12		
920	ἔσωθεν	12		
